ID,G,sigma2,num_samples,M,rho,NMC,mean_emp_loss,std_emp_loss,mean_displacement,std_displacement,mean_excess_loss,std_excess_loss
1774870186.5090587,uniform,0.005,707,6,0.1,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,7,0.001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,7,0.012,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,7,0.023000000000000003,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,7,0.034,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,7,0.045000000000000005,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,7,0.05600000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,7,0.067,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,7,0.07800000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,7,0.08900000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,7,0.1,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,8,0.001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,8,0.012,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,8,0.023000000000000003,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,8,0.034,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,8,0.045000000000000005,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,8,0.05600000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,8,0.067,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,8,0.07800000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,8,0.08900000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,8,0.1,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,9,0.001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,9,0.012,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,9,0.023000000000000003,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,9,0.034,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,9,0.045000000000000005,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,9,0.05600000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,9,0.067,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,9,0.07800000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,9,0.08900000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,707,9,0.1,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,2,0.001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,2,0.012,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,2,0.023000000000000003,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,2,0.034,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,2,0.045000000000000005,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,2,0.05600000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,2,0.067,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,2,0.07800000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,2,0.08900000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,2,0.1,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,3,0.001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,3,0.012,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,3,0.023000000000000003,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,3,0.034,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,3,0.045000000000000005,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,3,0.05600000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,3,0.067,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,3,0.07800000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,3,0.08900000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,3,0.1,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,4,0.001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,4,0.012,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,4,0.023000000000000003,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,4,0.034,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,4,0.045000000000000005,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,4,0.05600000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,4,0.067,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,4,0.07800000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,4,0.08900000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,4,0.1,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,5,0.001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,5,0.012,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,5,0.023000000000000003,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,5,0.034,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,5,0.045000000000000005,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,5,0.05600000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,5,0.067,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,5,0.07800000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,5,0.08900000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,5,0.1,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,6,0.001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,6,0.012,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,6,0.023000000000000003,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,6,0.034,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,6,0.045000000000000005,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,6,0.05600000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,6,0.067,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,6,0.07800000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,6,0.08900000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,6,0.1,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,7,0.001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,7,0.012,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,7,0.023000000000000003,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,7,0.034,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,7,0.045000000000000005,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,7,0.05600000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,7,0.067,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,7,0.07800000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,7,0.08900000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,7,0.1,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,8,0.001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,8,0.012,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,8,0.023000000000000003,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,8,0.034,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,8,0.045000000000000005,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,8,0.05600000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,8,0.067,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,8,0.07800000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,8,0.08900000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,8,0.1,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,9,0.001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,9,0.012,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,9,0.023000000000000003,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,9,0.034,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,9,0.045000000000000005,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,9,0.05600000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,9,0.067,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,9,0.07800000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,9,0.08900000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,1880,9,0.1,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,2,0.001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,2,0.012,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,2,0.023000000000000003,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,2,0.034,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,2,0.045000000000000005,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,2,0.05600000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,2,0.067,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,2,0.07800000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,2,0.08900000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,2,0.1,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,3,0.001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,3,0.012,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,3,0.023000000000000003,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,3,0.034,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,3,0.045000000000000005,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,3,0.05600000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,3,0.067,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,3,0.07800000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,3,0.08900000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,3,0.1,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,4,0.001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,4,0.012,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,4,0.023000000000000003,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,4,0.034,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,4,0.045000000000000005,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,4,0.05600000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,4,0.067,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,4,0.07800000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,4,0.08900000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,4,0.1,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,5,0.001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,5,0.012,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,5,0.023000000000000003,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,5,0.034,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,5,0.045000000000000005,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,5,0.05600000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,5,0.067,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,5,0.07800000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,5,0.08900000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,5,0.1,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,6,0.001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,6,0.012,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,6,0.023000000000000003,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,6,0.034,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,6,0.045000000000000005,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,6,0.05600000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,6,0.067,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,6,0.07800000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,6,0.08900000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,6,0.1,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,7,0.001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,7,0.012,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,7,0.023000000000000003,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,7,0.034,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,7,0.045000000000000005,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,7,0.05600000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,7,0.067,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,7,0.07800000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,7,0.08900000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,7,0.1,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,8,0.001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,8,0.012,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,8,0.023000000000000003,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,8,0.034,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,8,0.045000000000000005,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
1774870186.5090587,uniform,0.005,5000,8,0.05600000000000001,100,0.0,0.0,0.0,0.0,-0.004996853184271288,-0.004996853184271288
